,x1,y1,r1,nc1,x2,y2,r2,nc2,x3,y3,r3,nc3,x4,y4,r4,nc4,x5,y5,r5,nc5,x6,y6,r6,nc6,x7,y7,r7,nc7,x8,y8,r8,nc8
0,4215,83,22,1,4216,83,22,1,4215,86,22,1,4214,89,22,1,4214,90,22,1,4214,92,22,1,4214,93,22,1,4213,95,22,1
1,2058,1721,35,2,2060,1718,35,2,2060,1720,35,3,2060,1722,35,3,2059,1724,35,2,2059,1726,35,2,2059,1728,35,2,2059,1730,35,2
2,4212,891,22,0,4213,891,22,0,4224,894,22,0,4223,897,22,0,4223,899,22,0,4223,901,23,0,4224,903,22,0,4223,905,22,0
3,4401,2311,22,0,4402,2311,22,0,4402,2313,22,0,4401,2316,22,0,4401,2318,22,0,4400,2320,22,0,4400,2321,22,0,4400,2323,22,0
4,59,4508,22,0,59,4506,22,0,59,4508,22,0,59,4511,22,0,59,4513,22,0,59,4515,22,0,58,4516,22,0,58,4518,22,0
5,465,455,22,1,465,453,22,1,465,455,22,1,465,459,22,0,464,461,22,1,464,463,22,1,464,464,22,1,464,466,22,1
6,2563,205,22,0,2564,205,22,0,2564,208,22,0,2563,211,22,0,2563,212,22,0,2563,214,22,0,2562,215,22,0,2562,217,22,0
7,1406,2734,22,2,1406,2733,22,2,1407,2735,22,2,1406,2738,22,2,1406,2740,22,2,1406,2743,22,2,1406,2744,22,3,1406,2746,22,2
8,3643,941,22,1,3643,941,22,1,3643,943,22,1,3643,946,22,1,3643,948,23,1,3644,951,22,1,3644,953,22,1,3643,954,23,1
9,3082,2427,22,0,3083,2426,22,0,3083,2429,22,0,3082,2431,22,0,3082,2433,22,0,3082,2436,22,0,3082,2437,22,0,3082,2439,22,0
10,3873,228,22,0,3873,228,22,0,3874,231,22,0,3873,232,22,0,3873,235,22,1,3872,236,22,0,3873,238,22,0,3872,239,22,0
11,3915,335,22,0,3918,336,22,0,3923,336,22,0,3923,339,22,0,3922,341,22,0,3922,341,22,0,3922,342,22,0,3922,344,22,0
12,1667,3176,22,0,1667,3176,22,0,1667,3178,22,0,1668,3181,22,0,1669,3183,22,0,1669,3186,22,0,1673,3185,22,0,1673,3187,22,0
13,3475,4193,22,0,3490,4199,22,0,3490,4194,22,0,3489,4203,23,0,3489,4205,22,0,3489,4207,22,0,3488,4208,23,0,3488,4210,22,0
14,1329,68,22,1,1329,67,22,1,1329,69,22,1,1329,72,22,1,1329,74,22,1,1329,76,22,1,1328,77,22,1,1328,79,22,1
15,2344,1784,22,0,2344,1784,22,0,2345,1787,22,0,2345,1789,22,0,2344,1791,22,0,2344,1792,22,0,2344,1794,22,0,2344,1796,22,0
16,2651,736,22,0,2651,735,22,0,2651,737,22,0,2650,740,22,0,2650,742,22,0,2650,744,22,0,2649,745,22,0,2649,747,22,0
17,64,912,22,1,65,910,22,1,65,912,22,1,64,915,22,1,64,918,22,1,64,920,22,1,64,922,22,1,64,924,22,1
18,3462,1769,22,0,3462,1769,22,0,3462,1772,22,0,3462,1774,23,0,3463,1776,22,0,3467,1780,22,0,3467,1782,22,0,3470,1784,22,0
19,3000,3352,22,1,3010,3355,22,0,3029,3339,22,0,3029,3342,22,0,3032,3344,22,0,3032,3346,22,0,3032,3348,22,0,3032,3350,22,0
20,4050,2856,35,1,4050,2856,35,1,4049,2858,35,1,4049,2860,35,1,4049,2863,35,1,4049,2865,35,1,4049,2866,35,1,4048,2868,35,1
21,483,620,22,0,483,618,22,0,483,620,22,0,483,623,22,0,483,625,22,0,483,627,22,0,482,628,23,0,482,630,22,0
22,820,2218,22,1,813,2220,22,1,813,2222,23,1,813,2225,22,1,813,2227,22,1,813,2229,22,1,813,2230,23,1,812,2232,23,1
23,2394,2659,22,0,2395,2658,22,0,2398,2663,22,0,2398,2666,22,0,2398,2669,22,0,2398,2671,22,0,2398,2673,22,0,2398,2675,22,0
24,4466,268,22,2,4466,269,22,2,4466,271,22,2,4465,274,22,2,4467,275,22,2,4467,277,22,2,4468,279,22,2,4468,281,22,2
