,x1,y1,r1,nc1,x2,y2,r2,nc2,x3,y3,r3,nc3,x4,y4,r4,nc4,x5,y5,r5,nc5,x6,y6,r6,nc6,x7,y7,r7,nc7,x8,y8,r8,nc8
0,1535,2056,29,6,1536,2055,29,4,1535,2057,29,6,1536,2060,29,3,1536,2061,29,4,1535,2064,29,2,1535,2065,29,2,1535,2066,29,2
1,4217,1918,29,5,4216,1920,29,4,4215,1922,29,4,4219,1925,29,4,4219,1928,29,3,4219,1929,29,3,4219,1931,29,3,4219,1932,29,4
2,4245,3463,29,3,4244,3463,29,2,4245,3466,29,3,4245,3468,29,2,4245,3470,29,1,4256,3469,29,1,4256,3471,29,1,4256,3472,29,1
3,3146,603,29,2,3149,604,29,2,3149,607,29,2,3149,610,29,2,3148,612,29,2,3148,614,29,2,3148,615,29,2,3148,617,29,2
4,3736,4347,29,2,3737,4346,29,1,3737,4349,29,1,3737,4351,29,1,3736,4354,29,2,3737,4355,29,2,3736,4357,29,1,3736,4359,29,1
5,237,4531,29,2,237,4529,29,2,237,4531,29,2,237,4534,29,2,236,4536,29,2,237,4538,29,2,237,4539,29,5,236,4541,29,2
6,2361,2409,29,0,2361,2409,29,0,2362,2411,29,0,2362,2415,29,0,2361,2415,29,0,2361,2417,29,0,2361,2418,29,0,2361,2421,29,0
7,788,902,21,0,795,928,21,0,802,932,21,0,802,934,22,0,802,936,21,0,802,938,22,0,802,940,22,0,802,941,21,0
8,3259,1561,21,1,3263,1567,22,0,3288,1568,22,1,3249,1558,22,1,3261,1562,22,1,3261,1563,22,1,3261,1565,22,1,3259,1573,21,1
9,822,626,21,0,857,620,22,0,835,607,22,1,853,622,22,1,852,624,22,1,853,626,22,1,852,628,22,1,853,629,22,1
10,146,467,21,0,171,447,21,0,186,418,21,0,186,421,21,0,185,422,21,0,183,425,22,0,183,427,21,0,183,428,21,0
11,322,1328,22,1,326,1322,21,1,282,1306,21,0,281,1308,22,0,281,1311,22,0,281,1313,22,0,281,1314,22,0,281,1316,21,0
12,181,500,21,1,182,499,21,1,182,502,22,1,181,504,21,1,181,506,22,1,181,507,22,1,180,509,22,1,180,510,21,1
13,2222,2797,22,0,2239,2810,22,0,2222,2822,22,0,2221,2861,22,2,2227,2872,22,2,2226,2873,22,2,2226,2874,22,2,2226,2876,21,2
14,2651,1095,21,0,2655,1065,22,0,2658,1068,22,4,2643,1074,22,2,2642,1076,22,2,2641,1079,22,2,2642,1080,22,2,2642,1081,22,1
15,2367,2098,21,1,2353,2105,22,2,2335,2103,21,0,2299,2101,22,0,2300,2104,21,0,2299,2105,22,0,2300,2107,22,0,2299,2108,22,0
16,640,858,21,1,662,850,22,1,662,853,21,1,662,855,21,1,662,856,22,1,661,858,22,1,661,859,22,1,661,861,21,1
17,993,55,22,1,1009,56,22,1,1029,65,22,1,1028,65,22,1,1030,69,22,1,1029,71,22,1,1028,72,22,1,1028,73,21,1
18,2219,338,22,0,2224,337,22,0,2205,346,22,0,2190,335,22,0,2189,338,22,0,2189,341,22,0,2189,342,22,0,2189,344,21,0
19,438,2994,21,0,439,2993,21,0,439,2995,21,0,439,2998,22,0,439,3000,22,0,439,3002,22,0,439,3003,22,0,439,3005,21,0
20,1360,1297,22,0,1374,1301,22,0,1375,1305,21,0,1375,1307,22,0,1375,1310,22,0,1375,1311,22,0,1374,1313,22,0,1374,1314,22,0
21,3218,1621,21,2,3181,1603,21,1,3168,1630,22,0,3143,1617,22,0,3142,1620,22,0,3142,1621,22,0,3142,1623,22,0,3142,1624,21,0
22,1153,3417,22,0,1171,3406,22,0,1140,3434,22,0,1153,3422,22,0,1153,3424,22,0,1152,3426,22,0,1152,3428,21,0,1152,3430,22,0
23,465,1372,22,0,494,1360,21,0,474,1382,21,0,440,1416,22,0,441,1418,22,0,440,1420,21,0,438,1421,22,0,438,1423,22,0
24,1077,1634,22,1,1060,1624,22,0,1054,1616,22,0,1073,1613,22,0,1073,1616,22,0,1072,1618,21,0,1072,1619,22,0,1072,1621,21,0
25,1507,2727,21,0,1507,2746,21,0,1534,2752,21,0,1564,2747,21,0,1598,2718,22,1,1598,2719,22,1,1598,2721,22,1,1598,2723,22,1
26,1429,4306,22,0,1430,4305,22,0,1430,4307,22,0,1429,4309,22,0,1430,4311,22,0,1430,4313,22,0,1430,4314,22,0,1430,4316,22,0
27,2513,213,21,0,2518,245,21,0,2511,239,21,0,2504,215,22,1,2496,195,22,1,2496,195,22,1,2495,198,22,1,2495,200,22,1
28,1748,1056,21,0,1765,1072,22,1,1766,1074,21,0,1718,1026,21,0,1718,1028,22,0,1716,1028,22,0,1715,1030,22,0,1715,1031,21,0
29,3566,808,21,0,3554,830,21,0,3560,808,22,1,3569,828,22,2,3523,834,22,2,3523,836,22,2,3523,838,22,2,3524,841,22,2
