,drop_id,x1,y1,r1,nc1,x2,y2,r2,nc2
0,0,4216,83,22,1,4327,3613,22,0
1,1,2059,1721,35,4,2060,1718,35,2
2,2,4213,892,22,0,4213,892,22,0
3,3,4401,2312,22,0,3138,1778,22,0
4,4,60,4508,22,0,239,2472,22,0
5,5,466,456,22,1,466,454,22,1
6,6,2563,206,22,0,3667,4363,22,0
7,7,1407,2735,22,2,2791,4026,22,0
8,8,3644,942,22,1,3446,2140,22,1
9,9,3082,2427,22,0,975,3531,22,0
10,10,3873,228,22,1,3602,2118,22,0
11,11,3915,335,22,0,3617,771,22,0
12,12,1667,3177,22,0,1667,3176,22,0
13,13,3476,4194,22,0,3502,156,22,0
14,14,1329,68,22,1,135,3749,22,1
15,15,2344,1784,22,0,3105,2793,22,0
16,16,2651,737,22,0,1755,3802,22,0
17,17,65,912,22,1,65,910,22,1
18,18,3462,1770,22,0,2823,3278,22,0
19,19,3000,3352,21,2,2643,1011,21,0
20,20,4050,2856,35,3,1345,1773,21,0
21,21,484,620,22,0,286,1821,22,0
22,22,820,2218,22,1,1367,1924,22,2
23,23,2395,2659,22,0,2491,1409,22,0
24,24,4467,268,22,2,3089,2491,22,1
25,25,4292,1494,22,0,3094,4029,22,1
26,26,3161,239,22,0,3254,1830,22,0
27,27,3389,443,22,1,1945,1343,22,0
28,28,1491,3196,22,2,1838,2451,22,0
29,29,3731,942,22,1,1314,1571,22,1
30,30,4465,1311,22,0,2241,267,21,0
31,31,4249,1324,22,1,2382,4256,22,2
32,32,2403,788,22,4,1701,3759,22,0
33,33,4439,1417,21,2,1337,727,21,0
34,34,3674,3415,22,1,3975,1189,22,0
35,35,4488,3492,22,1,2180,1594,22,0
36,36,3124,1680,22,0,1579,3203,22,0
37,37,1642,3082,22,0,2831,3221,22,0
38,38,1500,240,22,0,3631,2998,22,0
39,39,4399,522,22,0,3117,2560,22,0
40,40,3121,900,21,1,2484,161,21,1
41,41,4121,1855,22,0,3040,2654,22,0
42,42,4321,3717,22,1,4366,4242,22,0
43,43,1280,4299,22,1,1581,2758,22,0
44,44,1663,2882,22,0,577,3073,22,0
45,45,3200,4596,22,0,771,2585,22,0
46,46,4247,3174,29,2,1620,1592,21,0
47,47,360,247,22,0,106,830,22,0
48,48,952,500,22,0,1749,3456,22,0
49,49,3749,671,22,0,2410,3493,22,0
50,50,582,722,22,1,582,720,22,1
51,51,3186,1312,22,2,3357,2322,22,0
52,52,333,1624,22,1,423,3228,22,2
53,53,3542,1744,22,1,2794,4503,22,1
54,54,827,1863,22,3,618,1414,22,0
55,55,2350,2207,22,1,4371,3609,22,1
56,56,4541,2387,21,1,3894,3273,21,0
57,57,1057,3803,22,0,1435,2119,22,0
58,58,220,558,22,1,215,4014,22,1
59,59,2445,1979,22,2,3794,3021,22,0
60,60,3575,4074,22,2,3513,3875,22,0
61,61,4443,2233,29,5,4443,2232,29,6
62,62,3671,1780,29,5,3671,1780,29,2
63,63,1317,630,22,0,2512,4501,22,0
64,64,3734,724,22,2,2570,4054,22,3
65,65,2207,906,22,0,2207,905,22,0
66,66,826,1582,22,1,448,4390,22,0
67,67,3014,2710,22,1,2676,1784,22,1
68,68,833,4183,22,0,833,4181,22,0
69,69,1293,4455,22,0,1293,4454,22,0
70,70,3897,850,22,0,1222,3046,22,0
71,71,3153,1398,22,1,4460,1364,22,0
72,72,1528,2370,22,0,2918,4116,22,1
73,73,2762,2994,21,0,3942,4373,21,0
74,74,1742,3344,22,0,2602,823,22,0
75,75,3879,2412,21,0,4282,4107,21,0
76,76,3057,2343,35,4,3057,2342,35,5
77,77,4273,386,21,0,4349,2136,21,0
78,78,1351,783,22,2,3513,2778,22,0
79,79,730,1732,22,1,245,2760,22,0
80,80,2604,1986,22,0,4325,4114,22,0
81,81,572,2020,22,4,233,705,22,0
82,82,3087,2258,22,0,805,1104,22,1
83,83,3650,3967,22,1,2542,2730,22,1
84,84,2431,4411,22,0,2460,4294,22,0
85,85,279,195,22,0,279,193,22,0
86,86,3643,1425,22,0,3645,1424,22,0
87,87,2535,2031,22,0,3739,3185,22,1
88,88,3146,27,21,0,2083,2870,21,2
89,89,297,445,22,1,1314,3786,22,1
90,90,863,1674,22,0,3597,541,22,0
91,91,3152,2788,21,0,2061,2950,21,0
92,92,3626,2952,22,2,3542,3089,22,1
93,93,3733,3092,22,0,2769,2909,22,0
94,94,4370,3909,22,0,4069,1775,22,0
95,95,4434,3920,22,0,1820,4112,22,0
96,96,2350,4610,22,1,652,249,22,0
97,97,3273,1235,22,1,3273,1234,22,1
98,98,3480,3445,21,0,2407,2509,21,2
99,99,228,3687,22,0,1444,2403,22,0
100,100,39,370,22,1,66,4351,22,0
101,101,4035,1110,22,0,1982,2105,22,1
102,102,4414,1354,22,3,1155,540,22,1
103,103,4224,1936,22,0,1579,3203,22,0
104,104,4341,2552,22,0,2544,4298,22,0
105,105,1745,2661,22,0,2956,731,22,2
106,106,219,2723,22,0,279,193,22,0
107,107,838,3475,22,1,1290,3295,22,0
108,108,4416,3500,22,1,3178,3512,22,0
109,109,3722,4292,22,2,3515,4293,22,0
110,110,961,4335,21,0,2307,4179,21,3
111,111,3908,398,21,0,2536,2076,21,0
112,112,3249,742,22,0,3380,873,22,0
113,113,3150,2147,21,1,4457,1985,21,1
114,114,2541,2731,21,1,2847,2471,21,1
115,115,4070,144,22,0,3960,1247,22,0
116,116,4361,3047,22,0,2343,918,22,0
117,117,93,203,22,1,1277,3876,22,1
118,118,106,832,22,0,106,830,22,0
119,119,2654,2723,21,1,594,3694,21,1
120,120,2862,2727,21,0,1543,357,21,0
121,121,3158,3624,22,2,4405,341,22,0
122,122,2132,3708,22,0,1770,598,22,0
123,123,3385,4446,22,1,3405,4446,22,1
124,124,501,177,22,0,302,3215,22,0
125,125,2516,1983,22,0,2516,1982,22,0
126,126,3156,3361,22,0,1248,4462,22,0
127,127,4020,4460,22,0,463,4213,22,0
128,128,1429,4510,22,0,1228,1063,22,0
129,129,2510,731,22,0,3557,3046,22,0
130,130,2336,1522,22,1,2357,257,22,2
131,131,3668,66,21,0,1666,4189,21,0
132,132,1471,520,22,1,609,3255,22,1
133,133,2476,548,22,0,2476,547,22,0
134,134,535,817,22,1,106,830,22,0
135,135,2709,1650,22,0,2650,2053,22,1
136,136,274,1956,22,1,2395,2658,22,0
137,137,3541,2911,22,2,718,4434,22,1
138,138,2828,3580,22,0,1920,3565,22,2
139,139,68,3762,22,0,315,244,22,0
140,140,1028,692,22,0,2303,1381,22,0
141,141,4099,957,22,0,1838,3705,22,5
142,142,4276,2236,22,0,3040,3204,22,0
143,143,322,62,22,0,677,803,22,1
144,144,3026,2913,22,0,3050,2009,22,0
145,145,4479,3672,21,1,2942,1107,21,0
146,146,2590,354,22,0,2395,2658,22,0
147,147,3864,488,22,0,3864,487,22,0
148,148,2794,506,22,0,2553,1284,22,0
149,149,4298,588,22,0,1849,3756,22,0
150,150,3354,613,22,1,3354,612,22,1
151,151,4233,727,22,1,2925,2787,22,1
152,152,4308,1108,22,1,290,2554,22,0
153,153,1492,1272,22,2,1670,2726,22,0
154,154,370,1980,22,1,131,782,22,1
155,155,1801,2126,22,0,3946,3526,22,0
156,156,2470,2251,21,0,909,2066,21,1
157,157,817,2957,22,1,314,1306,22,2
158,158,1168,3331,22,1,1167,4422,22,0
159,159,1775,3562,22,0,4163,3693,22,0
160,160,2587,3756,22,0,2757,162,22,1
161,161,2674,3879,22,0,3848,4052,22,0
162,162,1234,4092,22,0,296,4153,22,1
163,163,1489,62,22,0,1385,2596,22,0
164,164,3887,440,22,1,2434,2750,22,0
165,165,1552,3477,22,0,3971,3917,22,0
166,166,3454,3504,22,1,2425,3716,22,0
167,167,1482,4587,22,0,4109,2559,22,0
168,168,1696,2788,22,1,353,1397,22,0
169,169,22,2966,22,0,3556,2797,22,1
170,170,4460,610,22,0,3927,816,22,0
171,171,751,895,21,0,1307,1279,21,0
172,172,4521,1305,22,0,1149,3583,22,0
173,173,3311,1630,22,0,4392,3185,22,0
174,174,4464,1724,22,0,4131,209,22,0
175,175,4136,2312,22,0,4137,2312,22,0
176,176,437,3277,22,1,2328,3100,22,1
177,177,3567,3733,22,0,729,3312,22,0
178,178,3720,556,22,0,2596,3163,22,0
179,179,1516,602,22,0,1653,1672,22,0
180,180,3092,1483,22,0,4171,4040,22,1
181,181,1587,3322,22,0,1587,3321,22,0
182,182,3974,659,22,0,577,3073,22,0
183,183,1176,2321,22,0,3576,1509,22,0
184,184,192,895,22,0,181,3501,22,1
185,185,4419,298,22,0,4449,2737,22,0
186,186,3812,3263,22,0,2660,3099,22,0
187,187,749,3714,29,6,750,3712,29,5
188,188,516,486,22,0,2814,3365,22,1
189,189,863,549,22,0,3026,601,22,0
190,190,3985,943,21,0,2929,3294,21,0
191,191,3078,1970,22,0,1968,437,22,0
192,192,3541,2107,22,0,3547,2105,22,0
193,193,643,2264,22,0,1208,676,22,0
194,194,4440,176,22,1,3002,211,22,0
195,195,1594,3560,22,0,2791,4026,22,0
196,196,4123,1278,21,2,4128,1280,21,3
197,197,114,4508,22,0,321,918,22,0
198,198,4363,1720,21,0,2350,4292,21,0
199,199,4240,2440,22,1,4245,2438,22,1
200,200,4280,3467,29,4,3964,3631,21,2
201,201,3805,687,22,0,3002,211,22,0
202,202,4272,840,22,1,4272,840,22,1
203,203,2746,1270,21,1,1914,342,21,1
204,204,2926,1713,22,0,4190,636,22,0
205,205,1651,1916,21,0,2296,952,21,1
206,206,3989,2477,22,2,2675,1950,22,0
207,207,4306,3041,22,0,2433,2027,22,0
208,208,1352,1281,22,0,181,3501,22,1
209,209,2212,1903,22,3,2005,1619,22,0
210,210,1845,2141,21,0,2171,1551,21,4
211,211,3957,2397,22,0,1712,2903,22,0
212,212,2590,2853,22,0,2590,2853,22,0
213,213,4493,3062,22,0,3053,948,22,0
214,214,1712,3630,22,0,1250,455,22,0
